db	id	alt	E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	p-value	mult_tests	neg_sites_in_bin	neg_sites	neg_adj_pvalue	log_neg_adj_pvalue	fisher_adj_pvalue	log_fisher_adj_pvalue	
2	MA0753.1	ZNF740	2.40E+00	4.50E-03	-5.40E+00	0	225	491	1700	3444	0.45825	1.90E-05	2.45E+02	9.20E+01	200	1.00E+00	0.00E+00		1.00E+00	0
2	MA0759.1	ELK3	7.40E-35	1.40E-37	-8.48E+01	0	203	491	1942	3728	0.41344	5.80E-40	2.45E+02	1.18E+02	216	1.40E-02	-4.29E+00		1.00E+00	0
2	MA0760.1	ERF	4.30E-36	8.30E-39	-8.77E+01	0	211	491	1837	3371	0.42974	3.40E-41	2.45E+02	1.03E+02	194	5.10E-01	-6.80E-01		1.00E+00	0
2	MA0761.1	ETV1	4.40E-35	8.50E-38	-8.54E+01	0	209	491	2218	4207	4.26E-01	3.50E-40	2.45E+02	141	2.47E+02	7.60E-04	-7.18E+00		1.00E+00	0
2	MA0762.1	ETV2	2.40E-28	4.60E-31	-6.99E+01	0	238	490	1441	2366	4.86E-01	1.90E-33	2.44E+02	96	1.46E+02	7.30E-03	-4.91E+00		1.00E+00	0
2	MA0763.1	ETV3	2.40E-17	4.60E-20	-4.45E+01	0	227	491	2163	4015	4.62E-01	1.90E-22	2.45E+02	125	2.42E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0764.1	ETV4	2.40E-33	4.70E-36	-8.14E+01	0	209	491	2285	4369	0.42566	1.90E-38	2.45E+02	1.42E+02	247	4.10E-04	-7.79E+00		1.00E+00	0
2	MA0765.1	ETV5	9.20E-36	1.80E-38	-8.69E+01	0	209	491	2394	4568	4.26E-01	7.20E-41	2.45E+02	148	2.65E+02	3.00E-03	-5.81E+00		1.00E+00	0
2	MA0766.1	GATA5	1.60E-169	3.00E-172	-3.95E+02	0	79	493	1537	4698	1.60E-01	1.20E-174	2.46E+02	86	2.56E+02	1.60E-09	-2.02E+01		1.00E+00	0
2	MA0797.1	TGIF2	7.20E-04	1.40E-06	-1.35E+01	0	279	489	612	923	5.71E-01	5.60E-09	2.44E+02	35	5.70E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0801.1	MGA	3.30E-08	6.20E-11	-2.35E+01	0	187	493	1877	4334	3.79E-01	2.50E-13	2.46E+02	102	2.46E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0803.1	TBX15	1.80E-02	3.50E-05	-1.03E+01	0	159	493	1185	3244	0.32252	1.40E-07	2.46E+02	5.80E+01	177	1.00E+00	0.00E+00		1.00E+00	0
2	MA0805.1	TBX1	4.00E-04	7.60E-07	-1.41E+01	0	159	493	1128	3027	3.23E-01	3.10E-09	2.46E+02	53	1.56E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0806.1	TBX4	2.90E-04	5.50E-07	-1.44E+01	0	187	493	2009	4773	3.79E-01	2.20E-09	2.46E+02	108	2.74E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0807.1	TBX5	1.10E-03	2.20E-06	-1.31E+01	0	177	493	2063	5199	3.59E-01	8.80E-09	2.46E+02	110	2.95E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0814.1	TFAP2C(var.2)	9.20E+00	1.80E-02	-4.04E+00	0	312	490	2313	3464	6.37E-01	7.30E-05	2.44E+02	138	2.11E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0816.1	Ascl2	2.10E-04	4.00E-07	-1.47E+01	0	161	491	1339	3569	0.3279	1.70E-09	2.45E+02	7.60E+01	198	1.00E+00	0.00E+00		1.00E+00	0
2	MA0820.1	FIGLA	1.70E-03	3.20E-06	-1.27E+01	0	181	491	1791	4371	3.69E-01	1.30E-08	2.45E+02	103	2.47E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0823.1	HEY1	4.80E-09	9.20E-12	-2.54E+01	0	237	491	919	1594	4.83E-01	3.70E-14	2.45E+02	60	9.70E+01	7.00E-01	-3.60E-01		1.00E+00	0
2	MA0824.1	ID4	1.50E-03	2.80E-06	-1.28E+01	0	273	491	2300	3828	0.55601	1.10E-08	2.45E+02	132	220	1.00E+00	0.00E+00		1.00E+00	0
2	MA0825.1	MNT	1.60E-02	3.00E-05	-1.04E+01	0	157	491	1058	2896	0.31976	1.20E-07	2.45E+02	5.90E+01	168	1.00E+00	0.00E+00		1.00E+00	0
2	MA0828.1	SREBF2(var.2)	3.50E-05	6.60E-08	-1.65E+01	0	181	491	446	954	0.36864	2.70E-10	2.45E+02	2.60E+01	53	1.00E+00	0.00E+00		1.00E+00	0
2	MA0829.1	Srebf1(var.2)	1.50E-04	2.90E-07	-1.51E+01	0	237	491	693	1218	4.83E-01	1.20E-09	2.45E+02	42	7.30E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0830.1	TCF4	2.80E-04	5.40E-07	-1.44E+01	0	161	491	1259	3347	3.28E-01	2.20E-09	2.45E+02	74	1.90E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0831.1	TFE3	1.50E-10	2.80E-13	-2.89E+01	0	215	491	2086	4179	0.43788	1.20E-15	2.45E+02	1.23E+02	243	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0833.1	ATF4	1.70E-02	3.30E-05	-1.03E+01	0	212	488	586	1148	4.34E-01	1.30E-07	2.43E+02	35	6.60E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0834.1	ATF7	1.60E-07	3.10E-10	-2.19E+01	0	205	487	235	393	0.42094	1.30E-12	2.43E+02	1.60E+01	33	1.00E+00	0.00E+00		1.00E+00	0
2	MA0835.1	BATF3	3.20E+00	6.20E-03	-5.09E+00	0	231	487	84	128	4.74E-01	2.60E-05	2.43E+02	8	1.20E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0839.1	CREB3L1	1.20E-02	2.20E-05	-1.07E+01	0	277	487	529	802	0.56879	9.20E-08	2.43E+02	3.20E+01	47	1.00E+00	0.00E+00		1.00E+00	0
2	MA0840.1	Creb5	8.20E-08	1.60E-10	-2.26E+01	0	241	489	328	504	4.93E-01	6.40E-13	2.44E+02	20	3.60E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0841.1	NFE2	3.30E-05	6.40E-08	-1.66E+01	0	118	490	168	450	0.24082	2.60E-10	2.44E+02	7.00E+00	20	1.00E+00	0.00E+00		1.00E+00	0
2	MA0842.1	NRL	6.00E+00	1.20E-02	-4.46E+00	0	122	490	1406	5152	2.49E-01	4.80E-05	2.44E+02	88	2.90E+02	9.90E-01	-1.00E-02		1.00E+00	0
2	MA0844.1	XBP1	6.50E-08	1.20E-10	-2.28E+01	0	231	487	541	912	4.74E-01	5.10E-13	2.43E+02	31	5.50E+01	1.00E+00	0.00E+00		1.00E+00	0
2	MA0862.1	GMEB2	9.90E-01	1.90E-03	-6.27E+00	0	53	493	270	1938	1.08E-01	7.70E-06	2.46E+02	15	1.13E+02	1.00E+00	0.00E+00		1.00E+00	0
2	MA0871.1	TFEC	4.80E-14	9.20E-17	-3.69E+01	0	145	491	1492	4150	2.95E-01	3.70E-19	2.45E+02	90	2.45E+02	8.90E-01	-1.10E-01		1.00E+00	0
2	MA0884.1	DUXA	1.70E-02	3.20E-05	-1.04E+01	0	54	488	403	2828	0.11066	1.30E-07	2.43E+02	22	144	1.00E+00	0.00E+00		1.00E+00	0
2	MA1099.1	Hes1	1.60E-24	3.00E-27	-6.11E+01	0	245	491	2665	4579	4.99E-01	1.20E-29	2.45E+02	146	2.73E+02	1.00E+00	0.00E+00		1.00E+00	0
